"gene_names","nested_bh_pval"
"VAMP2",0.996893933523668
"PPIL1",0.997222680969096
"ZNF257",0.827210236540588
"ADH6",0.815939938489339
"USHBP1",0.803128064574854
"NME2",0.786648724628771
"HOXB9",0.991691308741008
"KCMF1",0.947947448218504
"CXCR6",0.690904239954609
"SGOL1",0.786648724628771
"PDLIM4",0.991691308741008
"DGCR6L",0.999712891822557
"CERCAM",0.989829357829757
"ZNF223",0.998630010938732
"ZNF324B",0.975341463938791
"SYNPO",0.690684314144073
"FFAR1",0.977245003798606
"LRFN3",0.988779995028454
"SLC35E2B",0.450177326910875
"EMP3",0.965838917861347
"PRPF4",0.998630010938732
"LAMP3",0.996666104771375
"PRPF6",0.843488119462954
"TK2",0.807781390461748
"PLEKHG5",0.976315257740276
"PLEC",0.922061122800404
"RPS12",0.908595825359194
"SFXN3",0.450177326910875
"SAC3D1",0.998630010938732
"MPHOSPH6",0.713368841484495
"GLTPD1",0.968667117426288
"STXBP2",0.92479275800883
"MUC12",0.960383816358945
"CCRL1",0.998630010938732
"HLA-C",0.942047530524085
"GLB1L3",0.277729833666589
"NEK4",0.965105844822703
"C1QTNF4",0.948209550530337
"DIRAS2",0.961065942488207
"SP140",0.998630010938732
"MICB",0.990412192021873
"TEF",0.789917991132763
"TOR1AIP1",0.874338363604263
"C12orf76",0.897000104287582
"LLGL2",0.745121836146001
"SPINT2",0.690904239954609
"AARSD1",0.960383816358945
"C22orf32",0.514673424515639
"ANKRD37",0.872968576142024
"TIMM10",0.997355538771346
"TRIM39",0.985951960802832
"HSPBAP1",0.908595825359194
"PILRB",0.997222680969096
"RAB33B",0.882124802016438
"NAPRT1",0.912411335579712
"NEXN",0.987094323553605
"FHL3",0.998630010938732
"SS18L2",0.977800186683549
"SGTB",0.930628584064013
"RANGAP1",0.876968283521185
"ANXA5",0.676481281679732
"IRF5",0.97888954549294
"KIAA1430",0.984252081127526
"C9orf169",0.940078212503013
"RPF1",0.988779995028454
"KIAA1383",0.734103809557657
"FAM8A1",0.946620945092275
"TIMP2",0.842967115237224
"C16orf5",0.669739677672091
"IKBKAP",0.996893933523668
"MUT",0.996666104771375
"GCSH",0.971459875242616
"GLRX2",0.995730758899907
"ZNF302",0.988580585215189
"TTC38",0.997222680969096
"CKAP2",0.958800887326663
"OXTR",0.886912674418476
"ATP5S",0.987792405985782
"NDNL2",0.998630010938732
"DNASE1L3",0.997222680969096
"ACAP1",0.822611677140612
"RHBDF2",0.886861208317402
"C11orf93",0.998630010938732
"TMEM140",0.947947448218504
"SHMT1",0.80280376401552
"POC5",0.872968576142024
"TREM1",0.97888954549294
"ARHGEF40",0.998630010938732
"SPIRE2",0.930628584064013
"GSTK1",0.985887758480681
"SSH1",0.946506917627874
"SIRT4",0.961967850729759
"HPS1",0.829415162381274
"TRIOBP",0.904353913181093
"NT5C1A",0.00136697464706631
"SKP1",0.970465037831873
"TBKBP1",0.930628584064013
"SPATA24",0.74783699497688
"NARS",0.942786213456359
"GBA",0.996666104771375
"ACAT1",0.976685216036718
"GSTM2",0.955045906111633
"C9orf72",0.998630010938732
"CPEB2",0.998630010938732
"FAM65C",0.935279945947955
"RGL4",0.908595825359194
"PDGFRB",0.882124802016438
"RPS2",0.985544082610045
"ST7L",0.997222680969096
"LDHC",0.955388388692302
"EIF3B",0.997355538771346
"MIDN",0.997222680969096
"SLC45A3",0.690904239954609
"ETV4",0.982311440102974
"MED8",0.884981310296388
"PXK",0.990412192021873
"ZNF814",0.986461548216943
"ZNF165",0.974239259124278
"ACSBG2",0.871913318199013
"ACTR8",0.720796562069072
"DCAF16",0.975341463938791
"ZNF579",0.874338363604263
"NUP35",0.925218546068163
"KIAA0319",0.690904239954609
"CCDC9",0.998630010938732
"RUFY1",0.996666104771375
"PPP1R14B",0.912423740328877
"MICAL1",0.912556871457655
"MOCOS",0.997355538771346
"TUBE1",0.996666104771375
"TINAG",0.997222680969096
"NME6",0.930628584064013
"SYK",0.958599268658456
"TRIM4",0.882124802016438
"CC2D1A",0.908595825359194
"AEBP1",0.809011346748683
"TCTN3",0.961147071397881
"ELP2",0.960425412636327
"BRP44",0.997222680969096
"TSEN54",0.998630010938732
"KCNQ4",0.985887758480681
"RNFT1",0.976685216036718
"TLR1",0.550355881976962
"AIF1",0.998630010938732
"OR13A1",0.882124802016438
"DUSP15",0.966204365086781
"GPRC5B",0.975341463938791
"C6orf225",0.877161529688853
"TCP11",0.937978337959503
"TMEM109",0.0147121714714504
"TACC3",0.712910841646697
"C11orf54",0.844966059320837
"SLFN5",0.842540224392428
"PMM1",0.996666104771375
"C11orf84",0.757856016690745
"RAB5A",0.734103809557657
"MSX1",0.882124802016438
"FN3KRP",0.996666104771375
"NOSTRIN",0.807781390461748
"AKIRIN1",0.770666166234041
"CAPS",0.997355538771346
"FAM154B",0.984515429157458
"WBSCR27",0.529515459161403
"GSDMB",0.965838917861347
"UGT2B7",0.997355538771346
"H6PD",0.950122151806762
"TMEM130",0.835819914336547
"BMP8A",0.990412192021873
"SHOC2",0.974239259124278
"OXCT2",0.897192774392486
"HEBP1",0.817173935855538
"ZNHIT6",0.976685216036718
"PRR24",0.734103809557657
"B3GALT6",0.996666104771375
"H2AFY2",0.816270168851751
"FBXO45",0.996666104771375
"ZNF680",0.874338363604263
"SOX30",0.975341463938791
"PSD4",0.829415162381274
"ALDH5A1",0.986113714490365
"RPL13A",0.842967115237224
"IL10RB",0.970665109049723
"CD27",0.922242227184764
"COPS8",0.974239259124278
"FKBP10",0.964324806321753
"WFDC3",0.998630010938732
"SLC33A1",0.998630010938732
"PCYOX1L",0.997222680969096
"UQCRC2",0.988779995028454
"BRP44L",0.858515743690687
"ACP6",0.998630010938732
"ZNF780A",0.996666104771375
"ST14",0.57260105671768
"CARS2",0.998630010938732
"TNFSF11",0.47763172640682
"C12orf52",0.996666104771375
"AMY1C",0.997355538771346
"IRGQ",0.952279164119469
"RBM43",0.775660264759726
"XXbac-BPG246D15.9",0.908595825359194
"PTPDC1",0.997222680969096
"CD63",0.988600160842633
"CAPN14",0.734103809557657
"NMNAT1",0.996666104771375
"EPDR1",0.754324010507234
"PDE1B",0.968667117426288
"MCOLN2",0.940078212503013
"C15orf63",0.946620945092275
"MLLT1",0.996666104771375
"WDR60",0.997222680969096
"PIGF",0.985887758480681
"FABP6",0.690904239954609
"PANK1",0.786648724628771
"DDX31",0.988779995028454
"RPRD1B",0.975341463938791
"TSFM",0.997222680969096
"NOV",0.0115904714431729
"CYP4V2",0.950622795369359
"MZF1",0.996666104771375
"C12orf60",0.965838917861347
"SLC6A4",0.913523667865275
"IL27RA",0.998630010938732
"RNF39",0.940078212503013
"SYNGR3",0.770666166234041
"TTLL12",0.950122151806762
"C14orf118",0.881327725030845
"TMEM177",0.690904239954609
"APLP1",0.897000104287582
"VKORC1",0.997222680969096
"MAPK13",0.864668149285753
"POMZP3",0.620452281430305
"ZCCHC4",0.998630010938732
"HSBP1L1",0.994738025961063
"CCDC122",0.998630010938732
"POMT1",0.940078212503013
"SAAL1",0.774222599422023
"CORO1C",0.998630010938732
"C17orf75",0.0780846412791378
"RPN1",0.555128766261333
"CECR5",0.965105844822703
"RIBC2",0.908595825359194
"DDX1",0.912556871457655
"RPIA",0.996666104771375
"STRN4",0.977496922195794
"C11orf74",0.996666104771375
"C1orf74",0.996666104771375
"RP3-412A9.11",0.950622795369359
"XRCC1",0.545437221869291
"RET",0.946506917627874
"MARC1",0.952755022521306
"ATP7B",0.947947448218504
"MLST8",0.734103809557657
"HEXB",0.945380673823139
"DPCR1",0.878443706860899
"SYT17",0.825483045866284
"UBE2G1",0.996608528701293
"PRDX5",0.974239259124278
"ZNF154",0.786648724628771
"MED19",0.979029877703773
"ST3GAL6",0.803128064574854
"RBMS2",0.96712973104834
"RCN3",0.998630010938732
"GOLM1",0.994741227489758
"C19orf24",0.983237263848173
"ZNF468",0.950622795369359
"GRPEL2",0.944912788597642
"TMEM150A",0.815939938489339
"TMEM200A",0.878443706860899
"WDR45L",0.981194830191159
"TIGD7",0.948209550530337
"NEURL",0.952279164119469
"PPIF",0.981194830191159
"DYRK3",0.997222680969096
"FERMT3",0.977496922195794
"FBXO39",0.00409400490472122
"LMTK2",0.961967850729759
"CPD",0.969979951131192
"HAUS4",0.930628584064013
"PLCB2",0.964767428094195
"ZNF347",0.998630010938732
"MARVELD3",0.950122151806762
"C12orf57",0.988779995028454
"MCM8",0.998630010938732
"DHFR",0.987792405985782
"C17orf80",0.974239259124278
"ERAP1",0.158201434316799
"LY9",0.958599268658456
"HSD17B8",0.968667117426288
"AICDA",0.940078212503013
"FAM116B",0.998630010938732
"NUP88",0.825483045866284
"LAP3",0.872968576142024
"FAM105B",0.937978337959503
